MON,DAY,YEAR,HR,MIN,TMZN,TMPF,RELH,SKNT,GUST,DRCT,QFLG,PMSL,VSBY,TLRW,PLDR,PLSP,WPER,WHGT,PSWD,PSWP,PSWH,SSWD,SSWP,TIDN,DWPF
10,21,2009, 12,21,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,21,2009, 12,51,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,21,2009, 13,21,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,21,2009, 14,21,HST, ,,,,,9,,,81.0,,,,,,,,,,,
10,21,2009, 14,51,HST, ,,,,,9,,,81.0,,,,,,,,,,,
10,21,2009, 15,51,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,21,2009, 16,21,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,21,2009, 16,51,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,21,2009, 17,21,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,21,2009, 17,51,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,21,2009, 18,21,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,21,2009, 18,51,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,21,2009, 19,21,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,21,2009, 19,51,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,21,2009, 20,21,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,21,2009, 20,51,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,21,2009, 21,21,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,21,2009, 21,51,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,21,2009, 22,21,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,21,2009, 22,51,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,21,2009, 23,51,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,22,2009, 0,21,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,22,2009, 0,51,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,22,2009, 1,21,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,22,2009, 1,51,HST, ,,,,,9,,,80.6,,,,,,,,,,,
10,22,2009, 2,21,HST, ,,,,,9,,,80.6,,,,,,,,,,,
10,22,2009, 2,51,HST, ,,,,,9,,,80.6,,,,,,,,,,,
10,22,2009, 3,21,HST, ,,,,,9,,,80.6,,,,,,,,,,,
10,22,2009, 3,51,HST, ,,,,,9,,,80.6,,,,,,,,,,,
10,22,2009, 4,21,HST, ,,,,,9,,,80.6,,,,,,,,,,,
10,22,2009, 4,51,HST, ,,,,,9,,,80.6,,,,,,,,,,,
10,22,2009, 5,21,HST, ,,,,,9,,,80.6,,,,,,,,,,,
10,22,2009, 5,51,HST, ,,,,,9,,,80.6,,,,,,,,,,,
10,22,2009, 6,21,HST, ,,,,,9,,,80.6,,,,,,,,,,,
10,22,2009, 6,51,HST, ,,,,,9,,,80.6,,,,,,,,,,,
10,22,2009, 7,21,HST, ,,,,,9,,,80.6,,,,,,,,,,,
10,22,2009, 7,51,HST, ,,,,,9,,,80.6,,,,,,,,,,,
10,22,2009, 8,21,HST, ,,,,,9,,,80.6,,,,,,,,,,,
10,22,2009, 8,51,HST, ,,,,,9,,,80.6,,,,,,,,,,,
10,22,2009, 9,21,HST, ,,,,,9,,,80.6,,,,,,,,,,,
10,22,2009, 9,51,HST, ,,,,,9,,,80.6,,,,,,,,,,,
10,22,2009, 10,21,HST, ,,,,,9,,,80.8,,,,,,,,,,,
10,22,2009, 10,51,HST, ,,,,,9,,,81.0,,,,,,,,,,,
10,22,2009, 11,21,HST, ,,,,,9,,,81.0,,,,,,,,,,,
10,22,2009, 11,51,HST, ,,,,,9,,,81.0,,,,,,,,,,,
10,22,2009, 12,21,HST, ,,,,,9,,,81.0,,,,,,,,,,,
10,22,2009, 12,51,HST, ,,,,,9,,,81.0,,,,,,,,,,,
10,22,2009, 13,21,HST, ,,,,,9,,,81.0,,,,,,,,,,,
10,22,2009, 14,21,HST, ,,,,,9,,,81.0,,,,,,,,,,,
10,22,2009, 14,51,HST, ,,,,,9,,,81.0,,,,,,,,,,,
10,22,2009, 15,21,HST, ,,,,,9,,,81.0,,,,,,,,,,,
10,22,2009, 15,51,HST, ,,,,,9,,,81.0,,,,,,,,,,,
10,22,2009, 16,21,HST, ,,,,,9,,,81.0,,,,,,,,,,,
10,22,2009, 16,51,HST, ,,,,,2,,,81.0,,,,,,,,,,,
10,22,2009, 17,21,HST, ,,,,,2,,,81.0,,,,,,,,,,,
10,22,2009, 17,51,HST, ,,,,,2,,,80.8,,,,,,,,,,,
10,22,2009, 18,21,HST, ,,,,,2,,,81.0,,,,,,,,,,,
