MON,DAY,YEAR,HR,MIN,TMZN,TLRW,WPER,WHGT,PENTAD
1,1,2010,0,0,HST,76.3,13.0,7.216428571428572,1
1,1,2010,1,0,HST,76.5,13.25,7.409166666666668,1
1,1,2010,2,0,HST,76.5,13.583333333333334,7.8725,1
1,1,2010,3,0,HST,76.3,13.25,7.574166666666667,1
1,1,2010,4,0,HST,76.4,13.166666666666666,7.7375,1
1,1,2010,5,0,HST,76.3,14.333333333333334,7.629166666666667,1
1,1,2010,6,0,HST,76.1,13.75,7.272500000000001,1
1,1,2010,7,0,HST,76.0,14.083333333333334,7.684166666666667,1
1,1,2010,8,0,HST,76.1,14.0,7.847499999999999,1
1,1,2010,9,0,HST,75.9,13.916666666666666,7.9025,1
1,1,2010,10,0,HST,76.1,13.666666666666666,7.902499999999999,1
1,1,2010,11,0,HST,76.4,14.0,8.310833333333335,1
1,1,2010,12,0,HST,76.5,15.083333333333334,7.873333333333332,1
1,1,2010,13,0,HST,76.75,14.166666666666666,7.900833333333334,1
1,1,2010,14,0,HST,76.8,14.25,7.709166666666667,1
1,1,2010,15,0,HST,76.75,14.333333333333334,8.010833333333332,1
1,1,2010,16,0,HST,76.7,13.75,7.982499999999999,1
1,1,2010,17,0,HST,76.7,13.75,8.174999999999999,1
1,1,2010,18,0,HST,76.3,14.25,8.093333333333334,1
1,1,2010,19,0,HST,76.1,13.833333333333334,8.039166666666667,1
1,1,2010,20,0,HST,76.1,13.5,7.9558333333333335,1
1,1,2010,21,0,HST,76.0,13.916666666666666,8.173333333333332,1
1,1,2010,22,0,HST,76.19999999999999,13.333333333333334,7.848333333333332,1
1,1,2010,23,0,HST,76.3,13.833333333333334,8.228333333333332,1
1,2,2010,0,0,HST,76.3,13.090909090909092,7.351038961038959,1
1,2,2010,1,0,HST,76.3,13.475,7.515916666666667,1
1,2,2010,2,0,HST,76.3,13.708333333333334,7.872249999999999,1
1,2,2010,3,0,HST,76.3,13.425,7.648416666666665,1
1,2,2010,4,0,HST,76.1,13.466666666666665,7.810749999999999,1
1,2,2010,5,0,HST,76.1,14.133333333333335,7.702416666666667,1
1,2,2010,6,0,HST,76.1,13.775,7.45275,1
1,2,2010,7,0,HST,76.1,14.008333333333335,7.642416666666667,1
1,2,2010,8,0,HST,76.1,13.85,7.8222499999999995,1
1,2,2010,9,0,HST,76.1,13.941666666666666,7.647749999999999,1
1,2,2010,10,0,HST,76.19999999999999,13.766666666666666,7.680750000000001,1
1,2,2010,11,0,HST,76.6,14.05,8.016083333333333,1
1,2,2010,12,0,HST,76.8,14.558333333333334,7.594333333333333,1
1,2,2010,13,0,HST,76.75,13.966666666666665,7.729583333333333,1
1,2,2010,14,0,HST,76.5,14.025,7.545916666666668,1
1,2,2010,15,0,HST,76.9,14.233333333333334,7.7725833333333325,1
1,2,2010,16,0,HST,76.6,13.875,7.818249999999999,1
1,2,2010,17,0,HST,76.3,13.875,8.100999999999999,1
1,2,2010,18,0,HST,76.19999999999999,14.125,8.076833333333331,1
