MON,DAY,YEAR,HR,MIN,TMZN,TMPF,RELH,SKNT,GUST,DRCT,QFLG,PREC,SINT,PEAK,PDIR,VOLT,DWPF
10,21,2009, 12,41,HST, 86.0,67,5.0,10.0,92,2,5.14,,10,90,13.90,73.7
10,21,2009, 13,41,HST, 86.0,66,9.0,13.0,149,2,5.14,,13,145,13.90,73.3
10,21,2009, 14,41,HST, 87.0,66,9.0,14.0,153,2,5.14,,14,131,13.80,74.2
10,21,2009, 15,41,HST, 82.0,72,9.0,14.0,156,2,5.14,,14,162,13.90,72.1
10,21,2009, 16,41,HST, 83.0,76,8.0,14.0,140,2,5.14,,14,153,14.00,74.6
10,21,2009, 17,41,HST, 82.0,76,5.0,14.0,105,2,5.14,,14,133,13.50,73.7
10,21,2009, 18,41,HST, 81.0,75,5.0,9.0,73,2,5.14,,9,88,13.30,72.3
10,21,2009, 19,41,HST, 80.0,76,5.0,9.0,359,2,5.14,,9,357,13.30,71.7
10,21,2009, 20,41,HST, 80.0,75,3.0,7.0,22,0,5.14,,7,20,13.30,71.3
10,21,2009, 21,41,HST, 76.0,76,1.0,6.0,153,2,5.14,,6,53,13.20,67.9
10,21,2009, 22,41,HST, 78.0,84,3.0,6.0,70,2,5.14,,6,83,13.20,72.8
10,21,2009, 23,41,HST, 76.0,77,2.0,6.0,296,2,5.14,,6,46,13.20,68.3
10,22,2009, 0,41,HST, 73.0,87,1.0,4.0,285,2,5.14,,4,293,13.20,68.9
10,22,2009, 1,41,HST, 72.0,87,2.0,4.0,270,2,5.14,,4,341,13.20,67.9
10,22,2009, 2,41,HST, 74.0,87,3.0,5.0,330,2,5.14,,5,324,13.20,69.9
10,22,2009, 3,41,HST, 72.0,88,1.0,4.0,274,2,5.14,,4,297,13.10,68.2
10,22,2009, 4,41,HST, 72.0,86,1.0,5.0,320,2,5.14,,5,305,13.10,67.6
10,22,2009, 5,41,HST, 71.0,92,1.0,3.0,241,2,5.14,,3,314,13.10,68.6
10,22,2009, 6,41,HST, 71.0,94,1.0,4.0,230,2,5.14,,4,7,13.10,69.2
10,22,2009, 7,41,HST, 80.0,87,3.0,7.0,43,2,5.14,,7,47,13.50,75.8
10,22,2009, 8,41,HST, 82.0,72,8.0,13.0,80,2,5.14,,13,74,14.00,72.1
10,22,2009, 9,41,HST, 84.0,68,6.0,16.0,59,2,5.14,,16,79,14.00,72.3
10,22,2009, 10,41,HST, 85.0,69,6.0,13.0,45,2,5.14,,13,83,13.90,73.7
10,22,2009, 11,41,HST, 83.0,57,14.0,21.0,158,2,5.14,,21,137,13.90,66.2
10,22,2009, 12,41,HST, 82.0,70,9.0,19.0,154,2,5.14,,19,167,13.90,71.2
10,22,2009, 13,41,HST, 86.0,66,6.0,13.0,46,2,5.14,,13,199,13.90,73.3
10,22,2009, 14,41,HST, 86.0,64,4.0,12.0,69,2,5.14,,12,59,13.90,72.4
10,22,2009, 15,41,HST, 86.0,60,10.0,14.0,79,2,5.14,,14,90,13.80,70.5
10,22,2009, 16,41,HST, 84.0,62,8.0,14.0,48,2,5.14,,14,77,13.90,69.6
10,22,2009, 17,41,HST, 82.0,67,6.0,14.0,62,2,5.14,,14,101,13.40,69.9
10,22,2009, 18,41,HST, 81.0,72,5.0,12.0,67,2,5.14,,12,77,13.30,71.1
10,22,2009, 19,41,HST, 78.0,75,3.0,6.0,81,2,5.14,,6,52,13.30,69.4
10,22,2009, 20,41,HST, 78.0,82,4.0,5.0,313,2,5.14,,5,310,13.30,72.0
10,22,2009, 21,41,HST, 77.0,77,2.0,4.0,318,2,5.14,,4,305,13.20,69.2
10,22,2009, 22,41,HST, 76.0,84,3.0,6.0,25,2,5.14,,6,71,13.20,70.8
10,22,2009, 23,41,HST, 76.0,83,4.0,8.0,49,2,5.14,,8,29,13.20,70.5
10,23,2009, 0,41,HST, 75.0,82,2.0,5.0,312,2,5.14,,5,74,13.20,69.1
10,23,2009, 1,41,HST, 74.0,84,1.0,4.0,239,2,5.14,,4,29,13.20,68.8
10,23,2009, 2,41,HST, 73.0,89,2.0,5.0,19,2,5.14,,5,356,13.20,69.6
10,23,2009, 3,41,HST, 73.0,88,2.0,5.0,329,2,5.14,,5,6,13.10,69.2
10,23,2009, 4,41,HST, 72.0,92,2.0,3.0,321,2,5.14,,3,347,13.10,69.5
10,23,2009, 5,41,HST, 73.0,92,3.0,4.0,335,2,5.14,,4,358,13.10,70.5
10,23,2009, 6,41,HST, 72.0,91,2.0,4.0,275,2,5.14,,4,21,13.10,69.2
10,23,2009, 7,41,HST, 78.0,87,1.0,5.0,342,2,5.14,,5,345,13.40,73.8
10,23,2009, 8,41,HST, 83.0,68,3.0,6.0,40,2,5.14,,6,12,14.00,71.3
10,23,2009, 9,41,HST, 85.0,63,4.0,7.0,52,2,5.14,,7,46,13.90,71.0
10,23,2009, 10,41,HST, 86.0,63,13.0,19.0,141,2,5.14,,19,129,13.90,71.9
10,23,2009, 11,41,HST, 86.0,60,12.0,18.0,145,2,5.14,,18,151,13.90,70.5
10,23,2009, 12,41,HST, 87.0,60,8.0,16.0,163,2,5.14,,16,171,13.90,71.4
10,23,2009, 13,41,HST, 87.0,61,10.0,18.0,154,2,5.14,,18,148,13.80,71.9
10,23,2009, 14,41,HST, 85.0,60,11.0,18.0,159,2,5.14,,18,143,13.90,69.5
10,23,2009, 15,41,HST, 85.0,62,14.0,21.0,142,2,5.14,,21,172,13.90,70.5
10,23,2009, 16,41,HST, 84.0,57,11.0,20.0,151,2,5.14,,20,153,13.80,67.1
10,23,2009, 17,41,HST, 81.0,64,10.0,16.0,152,2,5.14,,16,144,13.40,67.6
10,23,2009, 18,41,HST, 80.0,72,5.0,11.0,161,2,5.14,,11,176,13.30,70.1
10,23,2009, 19,41,HST, 80.0,76,6.0,10.0,154,2,5.14,,10,143,13.30,71.7
10,23,2009, 20,41,HST, 80.0,76,5.0,9.0,149,2,5.14,,9,149,13.20,71.7
10,23,2009, 21,41,HST, 77.0,77,4.0,7.0,146,2,5.14,,7,166,13.20,69.2
10,23,2009, 22,41,HST, 77.0,81,1.0,7.0,161,2,5.14,,7,134,13.20,70.7
10,23,2009, 23,41,HST, 76.0,87,2.0,4.0,7,2,5.14,,4,345,13.20,71.8
10,24,2009, 0,41,HST, 77.0,81,3.0,5.0,336,2,5.14,,5,46,13.20,70.7
10,24,2009, 1,41,HST, 76.0,83,1.0,5.0,321,2,5.14,,5,12,13.20,70.5
10,24,2009, 2,41,HST, 76.0,84,3.0,6.0,24,2,5.14,,6,39,13.20,70.8
10,24,2009, 3,41,HST, 74.0,85,1.0,6.0,48,2,5.14,,6,51,13.10,69.2
10,24,2009, 4,41,HST, 75.0,86,3.0,9.0,350,2,5.14,,9,83,13.10,70.5
10,24,2009, 5,41,HST, 75.0,84,2.0,4.0,51,2,5.14,,4,296,13.10,69.8
10,24,2009, 6,41,HST, 76.0,86,2.0,5.0,33,2,5.14,,5,46,13.10,71.5
10,24,2009, 7,41,HST, 80.0,81,3.0,5.0,30,2,5.14,,5,36,13.50,73.6
10,24,2009, 8,41,HST, 81.0,76,7.0,12.0,147,2,5.14,,12,135,13.90,72.7
10,24,2009, 9,41,HST, 83.0,69,7.0,14.0,144,2,5.14,,14,115,13.90,71.8
10,24,2009, 10,41,HST, 86.0,62,7.0,13.0,142,2,5.14,,13,126,13.90,71.4
10,24,2009, 11,41,HST, 86.0,60,7.0,14.0,146,2,5.14,,14,133,13.80,70.5
10,24,2009, 12,41,HST, 87.0,59,8.0,13.0,167,2,5.24,,13,145,13.80,70.9
10,24,2009, 13,41,HST, 86.0,63,9.0,14.0,159,2,5.24,,14,170,13.90,71.9
10,24,2009, 14,41,HST, 85.0,63,10.0,16.0,153,2,5.24,,16,133,13.80,71.0
10,24,2009, 15,41,HST, 84.0,66,11.0,16.0,145,2,5.24,,16,129,13.90,71.4
10,24,2009, 16,41,HST, 82.0,68,8.0,16.0,153,2,5.24,,16,153,13.90,70.4
10,24,2009, 17,41,HST, 81.0,76,5.0,11.0,174,2,5.27,,11,159,13.40,72.7
10,24,2009, 18,41,HST, 80.0,74,4.0,9.0,156,2,5.27,,9,153,13.30,70.9
10,24,2009, 19,41,HST, 78.0,78,2.0,6.0,172,2,5.27,,6,151,13.30,70.6
10,24,2009, 20,41,HST, 78.0,82,2.0,2.0,185,2,5.27,,2,198,13.20,72.0
10,24,2009, 21,41,HST, 78.0,82,3.0,5.0,102,2,5.27,,5,85,13.20,72.0
10,24,2009, 22,41,HST, 76.0,89,1.0,4.0,211,2,5.27,,4,304,13.20,72.5
10,24,2009, 23,41,HST, 76.0,85,2.0,6.0,306,2,5.27,,6,44,13.20,71.2
10,25,2009, 0,41,HST, 74.0,90,1.0,4.0,248,2,5.27,,4,337,13.20,70.9
10,25,2009, 1,41,HST, 73.0,94,1.0,3.0,318,2,5.27,,3,313,13.20,71.2
10,25,2009, 2,41,HST, 72.0,93,1.0,4.0,52,2,5.27,,4,318,13.10,69.9
10,25,2009, 3,41,HST, 74.0,89,3.0,5.0,58,2,5.27,,5,109,13.10,70.5
10,25,2009, 4,41,HST, 73.0,89,3.0,7.0,334,2,5.27,,7,3,13.10,69.6
10,25,2009, 5,41,HST, 73.0,89,2.0,6.0,11,2,5.27,,6,20,13.10,69.6
10,25,2009, 6,41,HST, 73.0,89,1.0,6.0,213,2,5.27,,6,19,13.10,69.6
10,25,2009, 7,41,HST, 79.0,81,2.0,6.0,15,2,5.27,,6,26,13.50,72.7
10,25,2009, 8,41,HST, 82.0,70,3.0,6.0,45,2,5.27,,6,31,14.00,71.2
10,25,2009, 9,41,HST, 85.0,66,10.0,14.0,129,2,5.27,,14,136,13.90,72.3
10,25,2009, 10,41,HST, 86.0,64,8.0,17.0,159,2,5.28,,17,134,13.90,72.4
10,25,2009, 11,41,HST, 85.0,61,10.0,17.0,142,2,5.29,,17,127,13.90,70.0
10,25,2009, 12,41,HST, 86.0,60,9.0,15.0,165,2,5.29,,15,142,13.70,70.5
10,25,2009, 13,41,HST, 86.0,60,7.0,15.0,156,2,5.29,,15,148,13.80,70.5
10,25,2009, 14,41,HST, 86.0,65,6.0,14.0,173,2,5.29,,14,180,13.80,72.8
10,25,2009, 15,41,HST, 84.0,69,7.0,15.0,144,2,5.29,,15,154,13.90,72.7
10,25,2009, 16,41,HST, 80.0,69,6.0,16.0,30,2,5.29,,16,143,13.50,68.9
10,25,2009, 17,41,HST, 78.0,77,9.0,12.0,338,2,5.29,,12,340,13.40,70.2
10,25,2009, 18,41,HST, 78.0,76,4.0,11.0,353,2,5.29,,11,341,13.30,69.8
10,25,2009, 19,41,HST, 78.0,77,5.0,11.0,359,2,5.29,,11,346,13.30,70.2
10,25,2009, 20,41,HST, 77.0,76,2.0,8.0,23,2,5.29,,8,25,13.20,68.8
10,25,2009, 21,41,HST, 75.0,83,2.0,5.0,317,2,5.29,,5,34,13.20,69.5
10,25,2009, 22,41,HST, 74.0,83,2.0,5.0,283,2,5.29,,5,326,13.20,68.5
10,25,2009, 23,41,HST, 74.0,83,2.0,5.0,285,2,5.29,,5,356,13.20,68.5
