MON,DAY,YEAR,HR,MIN,TMZN,TMPF,RELH,SKNT,GUST,DRCT,QFLG,SOLR,TLKE,PREC,SINT,FT,FM,PEAK,PDIR,VOLT,DWPF
10,21,2009, 12,45,HST, 83.0,77,13.0,17.0,106,9,766.0,,12.63,,95.0,15,17,95,13.50,75.0
10,21,2009, 13,45,HST, 83.0,77,13.0,16.0,106,9,845.0,,12.63,,95.0,13,16,97,13.60,75.0
10,21,2009, 14,45,HST, 83.0,77,15.0,19.0,103,9,720.0,,12.63,,93.0,12,19,100,14.20,75.0
10,21,2009, 15,45,HST, 83.0,77,14.0,19.0,102,9,641.0,,12.63,,91.0,10,19,97,13.80,75.0
10,21,2009, 16,45,HST, 80.0,84,13.0,18.0,109,9,155.0,,12.63,,82.0,13,18,97,13.30,74.7
10,21,2009, 17,45,HST, 80.0,86,11.0,16.0,108,9,47.0,,12.63,,80.0,15,16,97,13.20,75.4
10,21,2009, 18,45,HST, 79.0,87,13.0,17.0,98,9,2.0,,12.63,,79.0,17,17,97,13.20,74.8
10,21,2009, 19,45,HST, 79.0,85,16.0,20.0,100,9,0.0,,12.63,,79.0,18,20,102,13.10,74.1
10,21,2009, 20,45,HST, 79.0,85,16.0,21.0,105,0,0.0,,12.63,,78.0,18,21,95,13.10,74.1
10,21,2009, 21,45,HST, 78.0,86,16.0,21.0,111,9,0.0,,12.63,,78.0,19,21,113,13.10,73.5
10,21,2009, 22,45,HST, 78.0,83,16.0,21.0,105,9,0.0,,12.63,,77.0,19,21,115,13.10,72.4
10,21,2009, 23,45,HST, 78.0,84,17.0,21.0,111,9,0.0,,12.63,,77.0,18,21,109,13.10,72.8
10,22,2009, 0,45,HST, 78.0,86,17.0,22.0,106,9,0.0,,12.63,,77.0,19,22,96,13.10,73.5
10,22,2009, 1,45,HST, 78.0,82,19.0,23.0,110,9,0.0,,12.63,,77.0,18,23,110,13.10,72.0
10,22,2009, 2,45,HST, 78.0,83,17.0,22.0,103,9,0.0,,12.63,,77.0,18,22,107,13.00,72.4
10,22,2009, 3,45,HST, 78.0,84,17.0,23.0,107,9,0.0,,12.63,,76.0,18,23,107,13.00,72.8
10,22,2009, 4,45,HST, 78.0,82,19.0,24.0,98,9,0.0,,12.63,,77.0,18,24,94,13.00,72.0
10,22,2009, 5,45,HST, 78.0,83,20.0,24.0,98,9,0.0,,12.63,,77.0,18,24,102,13.00,72.4
10,22,2009, 6,45,HST, 78.0,83,18.0,24.0,105,9,5.0,,12.63,,78.0,18,24,108,13.00,72.4
10,22,2009, 7,45,HST, 80.0,83,18.0,26.0,102,9,120.0,,12.63,,81.0,18,26,98,13.10,74.4
10,22,2009, 8,45,HST, 80.0,85,17.0,25.0,107,9,227.0,,12.63,,82.0,17,25,101,13.30,75.1
10,22,2009, 9,45,HST, 81.0,86,17.0,26.0,106,9,340.0,,12.63,,84.0,16,26,99,13.60,76.4
10,22,2009, 10,45,HST, 81.0,82,17.0,25.0,101,9,518.0,,12.63,,87.0,12,25,103,13.60,75.0
10,22,2009, 11,45,HST, 83.0,79,22.0,28.0,102,9,711.0,,12.63,,92.0,13,28,104,13.50,75.8
10,22,2009, 12,45,HST, 84.0,78,17.0,27.0,109,9,932.0,,12.63,,94.0,11,27,111,13.50,76.4
10,22,2009, 13,45,HST, 82.0,79,14.0,20.0,105,9,386.0,,12.63,,87.0,12,20,117,13.70,74.8
10,22,2009, 14,45,HST, 81.0,79,14.0,18.0,97,9,417.0,,12.63,,85.0,12,18,110,13.90,73.9
10,22,2009, 15,45,HST, 81.0,77,16.0,20.0,91,9,343.0,,12.63,,84.0,12,20,91,13.60,73.1
10,22,2009, 16,45,HST, 80.0,82,15.0,20.0,96,9,130.0,,12.63,,81.0,13,20,90,13.30,74.0
