MON,DAY,YEAR,HR,MIN,TMZN,TMPF,RELH,SKNT,GUST,DRCT,QFLG,SOLR,TLKE,PREC,SINT,FT,FM,PEAK,HI24,LO24,PDIR,VOLT,DWPF
10,21,2009, 12,59,HST, 83.0,77,12.0,23.0,113,2,577.0,,24.15,,97.0,36,23,,,106,13.10,75.0
10,21,2009, 13,59,HST, 82.0,77,13.0,25.0,110,2,636.0,,24.15,,94.0,32,25,83.0,73.0,100,13.00,74.1
10,21,2009, 14,59,HST, 83.0,76,11.0,25.0,116,2,685.0,,24.15,,97.0,30,25,,,101,13.10,74.6
10,21,2009, 15,59,HST, 79.0,83,12.0,25.0,114,2,499.0,,24.15,,86.0,27,25,,,108,12.80,73.4
10,21,2009, 16,59,HST, 77.0,94,10.0,22.0,115,2,147.0,,24.15,,81.0,26,22,,,114,12.50,75.1
10,21,2009, 17,59,HST, 76.0,99,10.0,17.0,112,2,22.0,,24.15,,77.0,26,17,,,90,12.50,75.7
10,21,2009, 18,59,HST, 77.0,99,9.0,20.0,109,2,0.0,,24.15,,77.0,26,20,,,132,12.40,76.7
10,21,2009, 19,59,HST, 77.0,95,11.0,20.0,113,2,0.0,,24.15,,75.0,26,20,,,106,12.40,75.5
10,21,2009, 20,59,HST, 77.0,99,11.0,22.0,113,2,0.0,,24.15,,77.0,26,22,,,100,12.40,76.7
10,21,2009, 21,59,HST, 75.0,99,10.0,21.0,115,2,0.0,,24.15,,75.0,26,21,,,136,12.40,74.7
10,21,2009, 22,59,HST, 76.0,94,12.0,25.0,112,2,0.0,,24.15,,74.0,25,25,,,108,12.40,74.1
10,21,2009, 23,59,HST, 76.0,93,13.0,23.0,111,2,0.0,,24.15,,74.0,25,23,,,102,12.30,73.8
10,22,2009, 0,59,HST, 76.0,98,14.0,26.0,111,2,0.0,,24.15,,74.0,25,26,,,111,12.30,75.4
10,22,2009, 1,59,HST, 74.0,92,12.0,28.0,114,2,0.0,,24.15,,73.0,25,28,,,113,12.30,71.5
10,22,2009, 2,59,HST, 76.0,95,15.0,29.0,108,2,0.0,,24.15,,76.0,25,29,,,108,12.30,74.5
10,22,2009, 3,59,HST, 74.0,89,13.0,32.0,110,2,0.0,,24.15,,75.0,24,32,,,105,12.30,70.5
10,22,2009, 4,59,HST, 74.0,92,13.0,29.0,107,2,0.0,,24.15,,73.0,24,29,,,131,12.20,71.5
10,22,2009, 5,59,HST, 74.0,94,14.0,27.0,108,2,0.0,,24.15,,75.0,24,27,,,98,12.20,72.2
10,22,2009, 6,59,HST, 75.0,89,14.0,27.0,110,2,12.0,,24.15,,77.0,24,27,,,89,12.20,71.5
10,22,2009, 7,59,HST, 77.0,89,13.0,25.0,108,2,130.0,,24.15,,81.0,23,25,,,117,12.50,73.5
10,22,2009, 8,59,HST, 77.0,92,11.0,29.0,113,2,188.0,,24.15,,82.0,22,29,,,90,12.50,74.5
10,22,2009, 9,59,HST, 78.0,100,13.0,28.0,110,2,306.0,,24.17,,80.0,26,28,,,97,12.80,78.0
10,22,2009, 10,59,HST, 78.0,98,11.0,29.0,114,2,384.0,,24.17,,84.0,27,29,,,94,12.70,77.4
10,22,2009, 11,59,HST, 83.0,79,15.0,34.0,115,2,677.0,,24.17,,96.0,23,34,,,105,13.00,75.8
10,22,2009, 12,59,HST, 81.0,73,11.0,31.0,115,2,636.0,,24.17,,90.0,20,31,,,115,12.80,71.5
10,22,2009, 13,59,HST, 82.0,77,11.0,22.0,112,2,364.0,,24.17,,90.0,19,22,84.0,74.0,117,12.90,74.1
10,22,2009, 14,59,HST, 78.0,84,9.0,24.0,109,2,367.0,,24.17,,83.0,19,24,,,105,12.60,72.8
10,22,2009, 15,59,HST, 78.0,83,11.0,23.0,108,2,199.0,,24.17,,82.0,18,23,,,97,12.60,72.4
10,22,2009, 16,59,HST, 77.0,83,8.0,24.0,110,2,108.0,,24.17,,81.0,18,24,,,93,12.50,71.4
10,22,2009, 17,59,HST, 76.0,90,13.0,28.0,105,2,31.0,,24.17,,77.0,18,28,,,97,12.40,72.8
