MON,DAY,YEAR,HR,MIN,TMZN,PREC,PENTAD
1,1,2010,0,0,HST,0.0050000000000000044,1
1,1,2010,1,0,HST,0.0,1
1,1,2010,2,0,HST,0.0,1
1,1,2010,3,0,HST,0.0025000000000000022,1
1,1,2010,4,0,HST,0.0,1
1,1,2010,5,0,HST,0.0,1
1,1,2010,6,0,HST,0.0,1
1,1,2010,7,0,HST,0.0,1
1,1,2010,8,0,HST,0.0,1
1,1,2010,9,0,HST,0.0,1
1,1,2010,10,0,HST,0.0,1
1,1,2010,11,0,HST,0.0,1
1,1,2010,12,0,HST,0.0,1
1,1,2010,13,0,HST,0.0,1
1,1,2010,14,0,HST,0.0,1
1,1,2010,15,0,HST,0.0,1
1,1,2010,16,0,HST,0.0,1
1,1,2010,17,0,HST,0.0,1
1,1,2010,18,0,HST,0.0,1
1,1,2010,19,0,HST,0.0,1
1,1,2010,20,0,HST,0.0,1
1,1,2010,21,0,HST,0.0,1
1,1,2010,22,0,HST,0.0,1
1,1,2010,23,0,HST,0.0,1
1,2,2010,0,0,HST,0.0,1
1,2,2010,1,0,HST,0.0,1
1,2,2010,2,0,HST,0.0,1
1,2,2010,3,0,HST,0.0,1
1,2,2010,4,0,HST,0.0,1
1,2,2010,5,0,HST,0.0,1
1,2,2010,6,0,HST,0.0,1
1,2,2010,7,0,HST,0.0,1
1,2,2010,8,0,HST,0.0,1
1,2,2010,9,0,HST,0.0,1
1,2,2010,10,0,HST,0.0,1
1,2,2010,11,0,HST,0.0,1
1,2,2010,12,0,HST,0.0,1
1,2,2010,13,0,HST,0.0,1
1,2,2010,14,0,HST,0.0,1
1,2,2010,15,0,HST,0.0,1
1,2,2010,16,0,HST,0.0,1
1,2,2010,17,0,HST,0.0,1
1,2,2010,18,0,HST,0.0,1
1,2,2010,19,0,HST,0.0,1
1,2,2010,20,0,HST,0.0,1
1,2,2010,21,0,HST,0.0,1
1,2,2010,22,0,HST,0.0,1
1,2,2010,23,0,HST,0.0,1
1,3,2010,0,0,HST,0.0,1
1,3,2010,1,0,HST,0.0,1
1,3,2010,2,0,HST,0.0,1
1,3,2010,3,0,HST,0.0,1
1,3,2010,4,0,HST,0.0,1
1,3,2010,5,0,HST,0.0,1
1,3,2010,6,0,HST,0.0,1
1,3,2010,7,0,HST,0.0,1
1,3,2010,8,0,HST,0.0,1
1,3,2010,9,0,HST,0.0,1
1,3,2010,10,0,HST,0.0,1
1,3,2010,11,0,HST,0.0,1
1,3,2010,12,0,HST,0.0,1
1,3,2010,13,0,HST,0.0,1
1,3,2010,14,0,HST,0.0,1
1,3,2010,15,0,HST,0.0,1
1,3,2010,16,0,HST,0.0,1
1,3,2010,17,0,HST,0.0,1
1,3,2010,18,0,HST,0.0,1
1,3,2010,19,0,HST,0.0,1
1,3,2010,20,0,HST,0.0,1
1,3,2010,21,0,HST,0.0,1
1,3,2010,22,0,HST,0.0,1
1,3,2010,23,0,HST,0.0,1
1,4,2010,0,0,HST,0.0,1
1,4,2010,1,0,HST,0.0,1
1,4,2010,2,0,HST,0.0,1
