MON,DAY,YEAR,HR,MIN,TMZN,TMPF,RELH,SKNT,GUST,DRCT,QFLG,SOLR,TLKE,PREC,FT,FM,PEAK,HI24,LO24,PDIR,VOLT,DWPF
10,26,2009, 11,58,HST, ,,,,,0,,,,,,,,,,,
10,26,2009, 12,58,HST, 61.0,24,3.0,,344,0,,,0.00,72.0,16,,,,,12.50,24.0
10,26,2009, 13,58,HST, 62.0,26,3.0,,350,0,,,0.00,72.0,16,,,,,12.40,26.7
10,26,2009, 14,58,HST, 61.0,27,3.0,,350,0,,,0.00,72.0,16,,,,,12.40,26.8
10,26,2009, 15,58,HST, 50.0,69,3.0,,351,0,,,0.00,72.0,16,,,,,12.40,40.2
10,26,2009, 16,58,HST, 42.0,89,3.0,,352,0,,,0.00,72.0,16,,,,,12.40,39.0
10,26,2009, 17,58,HST, 43.0,81,3.0,,353,0,,,0.00,72.0,16,,,,,12.30,37.6
10,26,2009, 18,58,HST, 42.0,85,3.0,,353,0,,,0.00,72.0,16,,,,,12.30,37.8
10,26,2009, 19,58,HST, 41.0,90,3.0,,353,0,,,0.00,72.0,16,,,,,12.30,38.3
10,26,2009, 20,58,HST, 40.0,85,3.0,,353,0,,,0.00,72.0,16,,,,,12.30,35.9
10,26,2009, 21,58,HST, 41.0,77,3.0,,353,0,,,0.00,72.0,16,,,,,12.30,34.4
10,26,2009, 22,58,HST, 41.0,70,3.0,,352,0,,,0.00,72.0,16,,,,,12.30,32.0
10,26,2009, 23,58,HST, 40.0,76,3.0,,352,0,,,0.00,72.0,16,,,,,12.30,33.1
10,27,2009, 0,58,HST, 39.0,69,3.0,,352,0,,,0.00,72.0,16,,,,,12.30,29.7
10,27,2009, 1,58,HST, 38.0,69,3.0,,352,0,,,0.00,72.0,16,,,,,12.30,28.7
10,27,2009, 2,58,HST, 38.0,63,3.0,,353,0,,,0.00,72.0,16,,,,,12.30,26.5
10,27,2009, 3,58,HST, 36.0,61,3.0,,350,0,,,0.00,72.0,16,,,,,12.30,23.9
10,27,2009, 4,58,HST, 37.0,64,0.0,,,0,,,0.05,72.0,16,,,,,12.30,26.0
10,27,2009, 5,58,HST, 35.0,64,,,,0,,,0.10,72.0,16,,,,,12.30,24.1
10,27,2009, 6,58,HST, 38.0,59,,,,0,,,0.10,72.0,16,,,,,12.40,25.0
10,27,2009, 7,58,HST, 38.0,55,0.0,,,0,,,0.10,72.0,16,,,,,12.50,23.3
