MON,DAY,YEAR,HR,MIN,TMZN,TMPF,RELH,SKNT,GUST,DRCT,QFLG,SOLR,PREC,SINT,FT,FM,PEAK,PDIR,VOLT,DWPF
10,21,2009, 12,36,HST, 102.0,53,5.0,9.0,31,2,544.0,11.22,,126.0,10,9,54,,81.6
10,21,2009, 13,36,HST, 99.0,52,5.0,11.0,33,2,453.0,11.22,,116.0,6,11,54,,78.2
10,21,2009, 14,36,HST, 93.0,58,5.0,11.0,31,1,244.0,11.22,,101.0,6,11,99,,76.0
10,21,2009, 15,36,HST, 94.0,61,5.0,9.0,57,1,203.0,11.22,,103.0,7,9,39,,78.5
10,21,2009, 16,36,HST, 92.0,66,5.0,9.0,68,1,144.0,11.22,,101.0,8,9,65,,79.0
10,21,2009, 17,36,HST, 88.0,71,3.0,8.0,33,1,65.0,11.22,,91.0,9,8,70,,77.4
10,21,2009, 18,36,HST, 84.0,79,4.0,6.0,5,1,6.0,11.22,,85.0,10,6,3,,76.8
10,21,2009, 19,36,HST, 85.0,79,7.0,12.0,5,1,1.0,11.22,,84.0,11,12,4,,77.7
10,21,2009, 20,36,HST, 86.0,76,8.0,13.0,6,1,0.0,11.22,,84.0,11,13,4,,77.5
10,21,2009, 21,36,HST, 85.0,76,8.0,13.0,8,2,1.0,11.22,,84.0,12,13,4,,76.6
10,21,2009, 22,36,HST, 85.0,74,10.0,14.0,9,2,0.0,11.22,,82.0,12,14,4,,75.8
10,21,2009, 23,36,HST, 83.0,75,9.0,15.0,10,2,0.0,11.22,,82.0,13,15,6,,74.2
10,22,2009, 0,36,HST, 82.0,72,11.0,16.0,8,2,0.0,11.22,,81.0,12,16,5,,72.1
10,22,2009, 1,36,HST, 82.0,70,10.0,15.0,8,2,0.0,11.22,,81.0,12,15,4,,71.2
10,22,2009, 2,36,HST, 83.0,70,10.0,14.0,9,2,1.0,11.22,,81.0,13,14,10,,72.2
10,22,2009, 3,36,HST, 82.0,72,8.0,17.0,8,2,1.0,11.22,,81.0,13,17,10,,72.1
10,22,2009, 4,36,HST, 80.0,73,7.0,15.0,12,2,1.0,11.22,,80.0,13,15,6,,70.5
10,22,2009, 5,36,HST, 90.0,67,7.0,11.0,10,2,1.0,11.22,,89.0,13,11,5,,77.5
