MON,DAY,YEAR,HR,MIN,TMZN,TMPF,RELH,SKNT,GUST,DRCT,QFLG,SOLR,PREC,SINT,FT,FM,PEAK,PDIR,VOLT,DWPF
10,21,2009, 12,51,HST, 81.0,0,3.0,8.0,76,1,287.0,87.54,,85.0,18,8,78,13.40,
10,21,2009, 13,51,HST, 80.0,0,2.0,7.0,64,1,188.0,87.54,,84.0,16,7,90,13.40,
10,21,2009, 14,51,HST, 80.0,0,1.0,6.0,47,1,164.0,87.54,,84.0,13,6,83,13.30,
10,21,2009, 15,51,HST, 78.0,0,1.0,5.0,257,1,115.0,87.54,,80.0,13,5,175,13.20,
10,21,2009, 16,51,HST, 76.0,0,1.0,6.0,229,2,74.0,87.54,,78.0,15,6,267,13.20,
10,21,2009, 17,51,HST, 76.0,0,0.0,2.0,359,2,66.0,87.54,,77.0,14,2,246,13.10,
10,21,2009, 18,51,HST, 74.0,4,1.0,4.0,56,2,1.0,87.54,,74.0,17,4,80,13.10,-5.8
10,21,2009, 19,51,HST, 73.0,6,0.0,2.0,24,2,0.0,87.54,,73.0,19,2,76,13.00,2.0
10,21,2009, 20,51,HST, 72.0,7,1.0,3.0,20,2,0.0,87.54,,71.0,19,3,26,13.00,4.6
10,21,2009, 21,51,HST, 70.0,8,0.0,2.0,103,1,0.0,87.54,,69.0,20,2,2,13.00,6.0
10,21,2009, 22,51,HST, 69.0,9,0.0,2.0,26,1,0.0,87.54,,68.0,21,2,87,12.90,7.8
10,21,2009, 23,51,HST, 69.0,10,0.0,0.0,,1,0.0,87.54,,67.0,22,0,0,12.90,10.2
10,22,2009, 0,51,HST, 68.0,10,1.0,5.0,357,1,0.0,87.54,,67.0,22,5,109,12.90,9.4
10,22,2009, 1,51,HST, 70.0,8,2.0,7.0,52,1,0.0,87.54,,67.0,22,7,105,12.90,6.0
10,22,2009, 2,51,HST, 68.0,7,1.0,6.0,42,1,0.0,87.54,,66.0,22,6,91,12.90,1.6
10,22,2009, 3,51,HST, 67.0,10,0.0,5.0,33,1,0.0,87.54,,65.0,22,5,94,12.90,8.7
10,22,2009, 4,51,HST, 68.0,10,0.0,0.0,,1,0.0,87.54,,67.0,23,0,0,12.90,9.4
10,22,2009, 5,51,HST, 69.0,5,1.0,5.0,293,1,0.0,87.54,,68.0,22,5,112,12.90,-4.7
10,22,2009, 6,51,HST, 69.0,8,1.0,5.0,5,1,4.0,87.54,,68.0,23,5,342,12.90,5.3
10,22,2009, 7,51,HST, 72.0,7,2.0,6.0,19,1,51.0,87.54,,71.0,22,6,81,12.90,4.6
10,22,2009, 8,51,HST, 75.0,5,2.0,6.0,30,1,107.0,87.54,,74.0,21,6,116,12.90,-0.5
10,22,2009, 9,51,HST, 75.0,0,2.0,8.0,56,1,192.0,87.55,,76.0,19,8,219,13.10,
10,22,2009, 10,51,HST, 77.0,0,2.0,6.0,20,1,314.0,87.55,,81.0,19,6,97,13.50,
10,22,2009, 11,51,HST, 80.0,0,2.0,8.0,6,1,463.0,87.55,,86.0,13,8,98,13.50,
10,22,2009, 12,51,HST, 78.0,0,2.0,10.0,62,1,379.0,87.55,,86.0,11,10,113,13.40,
10,22,2009, 13,51,HST, 79.0,0,1.0,5.0,4,1,242.0,87.55,,85.0,11,5,112,13.50,
10,22,2009, 14,51,HST, 78.0,0,1.0,6.0,52,1,296.0,87.55,,85.0,10,6,79,13.30,
10,22,2009, 15,51,HST, 82.0,0,2.0,7.0,71,2,453.0,87.55,,94.0,8,7,86,13.40,
10,22,2009, 16,51,HST, 76.0,0,2.0,6.0,59,2,50.0,87.55,,78.0,10,6,100,13.20,
10,22,2009, 17,51,HST, 74.0,0,1.0,6.0,34,2,29.0,87.55,,74.0,11,6,97,13.10,
10,22,2009, 18,51,HST, 70.0,0,1.0,2.0,230,2,1.0,87.55,,70.0,13,2,92,13.10,
10,22,2009, 19,51,HST, 70.0,4,0.0,3.0,228,2,0.0,87.55,,69.0,16,3,238,13.10,-8.6
10,22,2009, 20,51,HST, 70.0,6,1.0,4.0,70,2,0.0,87.55,,69.0,18,4,52,13.10,-0.2
10,22,2009, 21,51,HST, 71.0,1,2.0,6.0,93,2,0.0,87.55,,69.0,19,6,81,13.00,-34.2
10,22,2009, 22,51,HST, 69.0,5,0.0,2.0,183,2,0.0,87.55,,67.0,20,2,214,13.00,-4.7
10,22,2009, 23,51,HST, 69.0,8,0.0,0.0,,2,0.0,87.55,,67.0,21,0,0,13.00,5.3
10,23,2009, 0,51,HST, 70.0,10,1.0,5.0,108,2,0.0,87.55,,69.0,22,5,104,13.00,10.9
10,23,2009, 1,51,HST, 70.0,8,0.0,4.0,235,2,0.0,87.55,,69.0,22,4,66,13.00,6.0
10,23,2009, 2,51,HST, 69.0,7,1.0,1.0,215,2,0.0,87.55,,67.0,22,1,208,12.90,2.4
10,23,2009, 3,51,HST, 69.0,5,1.0,5.0,178,2,0.0,87.55,,67.0,22,5,94,12.90,-4.7
10,23,2009, 4,51,HST, 68.0,4,0.0,0.0,,2,0.0,87.55,,66.0,22,0,0,12.90,-10.0
10,23,2009, 5,51,HST, 68.0,7,0.0,4.0,244,2,0.0,87.55,,66.0,23,4,97,12.90,1.6
10,23,2009, 6,51,HST, 68.0,12,0.0,0.0,,2,2.0,87.55,,67.0,23,0,0,12.90,13.5
10,23,2009, 7,51,HST, 70.0,10,0.0,4.0,262,2,33.0,87.55,,68.0,23,4,95,12.90,10.9
10,23,2009, 8,51,HST, 75.0,0,2.0,6.0,19,2,64.0,87.55,,72.0,22,6,356,12.90,
10,23,2009, 9,51,HST, 79.0,0,3.0,6.0,50,2,124.0,87.55,,78.0,20,6,97,13.00,
10,23,2009, 10,51,HST, 80.0,0,3.0,9.0,44,2,200.0,87.55,,82.0,15,9,96,13.20,
10,23,2009, 11,51,HST, 83.0,0,3.0,11.0,50,2,443.0,87.55,,93.0,12,11,96,13.60,
10,23,2009, 12,51,HST, 82.0,0,3.0,10.0,62,2,507.0,87.55,,94.0,9,10,76,13.50,
10,23,2009, 13,51,HST, 80.0,0,3.0,9.0,58,2,261.0,87.55,,86.0,9,9,66,13.40,
10,23,2009, 14,51,HST, 81.0,0,4.0,8.0,58,2,248.0,87.55,,91.0,9,8,69,13.50,
10,23,2009, 15,51,HST, 79.0,0,4.0,14.0,57,2,401.0,87.55,,90.0,9,14,84,13.70,
10,23,2009, 16,51,HST, 76.0,0,4.0,12.0,49,2,161.0,87.55,,78.0,10,12,84,13.30,
10,23,2009, 17,51,HST, 74.0,0,2.0,9.0,60,2,37.0,87.55,,74.0,11,9,86,13.10,
10,23,2009, 18,51,HST, 73.0,0,0.0,7.0,203,2,2.0,87.55,,72.0,12,7,90,13.10,
10,23,2009, 19,51,HST, 71.0,0,0.0,0.0,,2,0.0,87.55,,70.0,14,0,0,13.10,
